ward_spatial,longitude,latitude
24,-87.7053016,41.86586834
28,-87.73514041,41.88710353
28,-87.72920018,41.886477
27,-87.68707322,41.87701249
28,-87.69675087,41.86949239
28,-87.7285729,41.87819858
15,-87.67201356,41.81262931
15,-87.66945173,41.8072623
16,-87.67488945,41.79960134
16,-87.67160587,41.79675334
20,-87.64372206,41.80033062
23,-87.7252875,41.76837145
4,-87.60950072,41.81563248
16,-87.67219378,41.77317955
16,-87.65346589,41.77299455
17,-87.65702626,41.76995357
16,-87.64661178,41.76975764
6,-87.64122634,41.77335919
6,-87.6441534,41.76978658
6,-87.63877256,41.76781135
20,-87.59708515,41.77818705
8,-87.58760437,41.75902361
6,-87.60752521,41.75996482
17,-87.63103326,41.75058489
8,-87.5966305,41.74563489
7,-87.55848989,41.7613139
10,-87.55234394,41.73944491
39,-87.72708132,41.96944637
27,-87.64192972,41.90251298
8,-87.60065718,41.72901187
9,-87.59863439,41.70633057
1,-87.69357924,41.91840993
27,-87.71914433,41.8966521
28,-87.7311431,41.88495821
27,-87.69498316,41.876219
28,-87.73785793,41.87400335
1,-87.66537764,41.89709578
22,-87.70764562,41.83561543
16,-87.67535986,41.79958607
16,-87.67600994,41.79772291
4,-87.59888841,41.808232
15,-87.66589825,41.78410275
16,-87.65949653,41.77147154
16,-87.64295125,41.78950736
16,-87.65884808,41.79316363
16,-87.65428248,41.7846068
5,-87.57073759,41.77311745
6,-87.61170528,41.7538872
17,-87.65120756,41.75976305
17,-87.64704497,41.75956656
17,-87.66950045,41.76322299
8,-87.5802294,41.74793307
10,-87.54911159,41.73211443
21,-87.64385867,41.7310351
21,-87.65343563,41.68467191
9,-87.61570106,41.67458794
21,-87.63619383,41.6764544
21,-87.64135965,41.67262258
9,-87.63023697,41.67770206
24,-87.7196779,41.8577033
24,-87.72078667,41.85606837
24,-87.71351303,41.85546689
24,-87.70346569,41.86374178
27,-87.69403728,41.87702531
28,-87.73899372,41.87755782
38,-87.81885184,41.94940629
10,-87.61503155,41.65114383
10,-87.5745441,41.65492587
21,-87.65393721,41.71888957
21,-87.64254983,41.71068958
9,-87.62156501,41.70927642
9,-87.61479566,41.68781762
9,-87.61967057,41.71185767
9,-87.60986634,41.68843267
10,-87.54474076,41.68260023
20,-87.63198482,41.81510839
20,-87.64718618,41.80273012
20,-87.65781122,41.80014707
20,-87.64373154,41.80067356
3,-87.61826397,41.80154192
3,-87.62347864,41.81541275
16,-87.67413639,41.77475677
6,-87.63259844,41.77181867
20,-87.62961957,41.79294453
20,-87.63799496,41.78331864
20,-87.63904297,41.78051358
5,-87.59437084,41.7692816
17,-87.65861708,41.76342901
18,-87.66531552,41.74243319
7,-87.55363087,41.74305233
16,-87.6704116,41.79751673
20,-87.65546749,41.80359005
16,-87.6619774,41.80029789
20,-87.6437296,41.80060498
3,-87.61780912,41.80987603
